Running,27/04/2021 17:02,FALSE,County Limerick - 4x1k @ 5k,9.01,630,00:51:43,155,174,3.1,166,243,05:44,03:53,48,48,1.05,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,00:33.2,13,0,00:51:39,00:51:54,9,38
Cardio,27/04/2021 12:04,FALSE,Cardio,0,256,00:37:37,118,146,0.7,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,37:37.2,1,0,00:00:00,00:37:37,31,33
Running,26/04/2021 16:49,FALSE,County Limerick Running,5.01,358,00:29:10,151,165,2.6,163,168,05:49,05:16,33,29,1.05,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,00:03.1,6,0,00:29:09,00:29:10,16,44
Yoga,26/04/2021 12:16,FALSE,Yoga,0,30,00:19:20,62,102,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,19:20.4,1,0,00:00:00,00:19:20,--,--
Running,25/04/2021 09:22,FALSE,County Limerick Running,16.01,1097,01:34:11,157,173,3.2,168,175,05:53,04:54,24,29,1.01,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,00:02.7,17,0,01:34:07,01:35:04,5,22
Running,24/04/2021 09:10,FALSE,County Limerick Running,5.01,376,00:30:35,154,169,2.8,165,170,06:06,05:33,30,30,1,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,00:02.9,6,0,00:30:34,00:30:35,10,36
Running,22/04/2021 16:59,FALSE,County Limerick - 3x2k Threshold,11.06,834,01:04:15,164,176,3.7,164,173,05:49,05:03,75,72,1.05,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,03:00.0,13,0,01:04:13,01:05:26,12,46
Yoga,22/04/2021 12:35,FALSE,Yoga,0,37,00:19:11,66,113,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,19:11.0,1,0,00:00:00,00:19:11,--,--
Yoga,21/04/2021 12:03,FALSE,Yoga,0,46,00:25:19,71,96,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,25:18.5,1,0,00:00:00,00:25:19,--,--
Running,20/04/2021 16:47,FALSE,County Limerick - 10x 1min on/off,7.01,524,00:41:21,160,177,3.2,164,175,05:54,04:46,43,41,1.03,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,01:00.0,24,0,00:41:17,00:41:21,11,37
Cardio,20/04/2021 12:03,FALSE,Cardio,0,228,00:37:30,112,156,1.1,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,23,00:00,No,37:30.2,1,0,00:00:00,00:37:30,25,28
Running,19/04/2021 17:48,FALSE,County Limerick Running,5.01,365,00:30:52,148,163,2.6,163,170,06:10,04:57,11,9,1,0,0,--,--,0,0,0,--,--,--,00:00,16,00:00,No,00:02.3,6,0,00:30:51,00:30:52,18,23
Running,18/04/2021 10:03,FALSE,County Kerry Running,5.06,377,00:32:11,150,165,2.5,160,166,06:22,05:30,14,14,0.98,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,00:22.3,6,0,00:32:10,00:32:11,9,26
Trail Running,17/04/2021 08:17,FALSE,County Kerry Trail Running,14.69,1154,01:54:06,155,179,3,154,203,07:46,04:51,649,672,0.83,0,0,--,--,0,0,0,--,--,--,00:00,15,00:00,No,04:27.4,15,0,01:52:49,02:00:47,88,259
Running,16/04/2021 13:33,FALSE,County Limerick - 20min Tempo,7.8,582,00:43:43,164,178,3.3,167,175,05:36,04:49,49,48,1.07,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,00:03.1,9,0,00:43:41,00:43:43,--,37
Cardio,15/04/2021 12:35,FALSE,Cardio,0,185,00:29:05,118,153,0.5,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,29:04.8,1,0,00:00:00,00:29:05,20,25
Running,14/04/2021 17:37,FALSE,County Limerick Running,2.01,157,00:12:42,153,163,2.1,166,170,06:19,05:57,14,10,0.96,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:04.4,3,0,00:12:42,00:12:42,7,23
Running,14/04/2021 16:59,FALSE,County Limerick Running,6.32,468,00:34:55,169,180,3.3,168,179,05:31,04:28,29,21,1.07,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:02.2,21,0,00:34:49,00:35:05,11,20
Running,14/04/2021 16:43,FALSE,County Limerick Running,2.09,157,00:12:36,151,164,2.2,161,164,06:02,05:34,8,21,1.03,0,0,--,--,0,0,0,--,--,--,00:00,22,00:00,No,00:32.9,3,0,00:12:36,00:12:36,9,25
Yoga,14/04/2021 11:47,FALSE,Yoga,0,54,00:26:04,74,99,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,26:04.4,1,0,00:00:00,00:26:04,--,--
Running,12/04/2021 16:41,FALSE,County Limerick Running,4.01,278,00:25:40,142,157,2,161,166,06:24,05:25,8,7,0.97,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:02.7,5,0,00:25:39,00:25:40,11,16
Running,11/04/2021 15:13,FALSE,County Limerick Running,14.01,992,01:22:58,158,173,3.1,165,202,05:55,05:07,90,89,1.02,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,00:02.6,15,0,01:22:55,01:24:26,-4,38
Running,10/04/2021 11:21,FALSE,County Limerick Running,5.01,377,00:29:40,156,172,2.8,164,170,05:55,05:25,17,14,1.03,0,0,--,--,0,0,0,--,--,--,00:00,18,00:00,No,00:03.7,6,0,00:29:38,00:29:40,12,23
Cycling,10/04/2021 10:13,FALSE,County Limerick Cycling,24.03,591,00:50:25,154,173,2.8,--,--,28.6,51.2,46,41,0,0,0,82,107,0,0,0,4053,--,--,00:00,5,00:00,No,07:57.8,5,0,00:50:24,00:50:53,-14,53
Yoga,09/04/2021 16:22,FALSE,Yoga,0,56,00:25:27,75,99,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,27,00:00,No,25:26.5,1,0,00:00:00,00:25:27,--,--
Running,08/04/2021 16:40,FALSE,County Limerick - 2x2km @ Theshold,9.06,661,00:52:20,159,176,3.3,166,175,05:47,04:40,63,61,1.04,0,0,--,--,0,0,0,--,--,--,00:00,15,00:00,No,03:00.0,10,0,00:52:17,00:52:20,1,40
Yoga,07/04/2021 16:54,FALSE,Yoga,0,45,00:25:43,68,95,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,25:43.4,1,0,00:00:00,00:25:43,--,--
Running,06/04/2021 16:33,FALSE,County Limerick - 4x1km @ 10k Pace,9.01,653,00:53:14,157,175,3.1,167,179,05:55,05:07,45,43,1.01,0,0,--,--,0,0,0,--,--,--,00:00,16,00:00,No,00:33.8,13,0,00:53:12,00:53:30,2,23
Running,05/04/2021 12:02,FALSE,County Limerick Running,5.01,336,00:30:14,146,156,2.3,166,173,06:02,05:23,35,34,1,0,0,--,--,0,0,0,--,--,--,00:00,16,00:00,No,00:03.0,6,0,00:30:13,00:30:14,10,38
Trail Running,04/04/2021 09:35,FALSE,County Limerick Trail Running,14,906,01:27:29,153,172,2.7,171,187,06:15,04:41,313,313,0.94,0,0,--,--,0,0,0,--,--,--,00:00,16,00:00,No,00:02.2,15,0,01:27:21,01:28:25,148,346
Cycling,03/04/2021 09:32,FALSE,County Limerick Cycling,34.8,753,01:16:37,147,174,2.4,--,--,27.3,45,82,83,0,0,0,82,111,0,0,0,5961,--,--,00:00,7,00:00,No,09:53.3,7,0,01:16:35,01:16:37,14,75
Running,02/04/2021 13:40,FALSE,County Limerick Running,10.01,759,01:00:28,160,173,3.3,164,172,06:03,04:57,65,62,1.01,0,0,--,--,0,0,0,--,--,--,00:00,21,00:00,No,00:01.9,11,0,01:00:26,01:01:01,1,38
Walking,01/04/2021 16:58,FALSE,County Limerick Walking,4.59,228,00:49:54,80,97,0.3,116,127,10:53,07:44,12,13,0.79,0,0,--,--,0,0,0,--,--,--,00:00,19,00:00,No,06:36.7,5,0,00:49:38,00:49:54,4,11
Running,31/03/2021 16:49,FALSE,County Limerick Running,8.01,548,00:49:10,148,168,2.6,163,170,06:08,05:19,60,52,1,0,0,--,--,0,0,0,--,--,--,00:00,20,00:00,No,00:03.9,9,0,00:49:07,00:50:02,8,38
Cardio,31/03/2021 12:56,FALSE,Cardio,0,182,00:26:37,118,153,0.7,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,26:37.5,1,0,00:00:00,00:29:10,32,35
